party_name,region,declaration_year,tax_year,valid_choices,is_suppressed
Partito della Rifondazione Comunista,Umbria,2018,2017,831,0
Partito Democratico,Umbria,2018,2017,8361,0
Partito Socialista Italiano,Umbria,2018,2017,279,0
Popolari per l'Italia,Umbria,2018,2017,29,0
Possibile,Umbria,2018,2017,146,0
Scelta Civica,Umbria,2018,2017,126,0
Sinistra Italiana,Umbria,2018,2017,455,0
Stella Alpina,Umbria,2018,2017,28,0
Sudtiroler Volkspartei,Umbria,2018,2017,37,0
Union Valdotaine,Umbria,2018,2017,14,0
Unione di Centro,Umbria,2018,2017,30,0
Unione per il Trentino,Umbria,2018,2017,25,0
Alternativa Popolare,Marche,2018,2017,55,0
Articolo 1 Movimento Democratico e Progressista,Marche,2018,2017,531,0
Centro Democratico,Marche,2018,2017,190,0
Democrazia Solidale - Demo. S,Marche,2018,2017,17,0
Energie per l'Italia,Marche,2018,2017,120,0
Federazione dei Verdi,Marche,2018,2017,428,0
Fratelli d'Italia,Marche,2018,2017,1104,0
Idea Identita' e Azione,Marche,2018,2017,22,0
Italia dei Valori,Marche,2018,2017,78,0
Lega Nord per l'Indipendenza della Padania,Marche,2018,2017,755,0
Lega per Salvini Premier,Marche,2018,2017,3763,0
Movimento Associativo Italiani all'Estero,Marche,2018,2017,93,0
Movimento La Puglia in Piu',Marche,2018,2017,77,0
Movimento politico Forza Italia,Marche,2018,2017,751,0
Partito Autonomista Trentino Tirolese,Marche,2018,2017,31,0
Partito della Rifondazione Comunista,Marche,2018,2017,1022,0
Partito Democratico,Marche,2018,2017,10630,0
Partito Socialista Italiano,Marche,2018,2017,299,0
Popolari per l'Italia,Marche,2018,2017,41,0
Possibile,Marche,2018,2017,361,0
Scelta Civica,Marche,2018,2017,185,0
Sinistra Italiana,Marche,2018,2017,525,0
Stella Alpina,Marche,2018,2017,39,0
Sudtiroler Volkspartei,Marche,2018,2017,61,0
Union Valdotaine,Marche,2018,2017,101,0
Unione di Centro,Marche,2018,2017,101,0
Unione per il Trentino,Marche,2018,2017,56,0
Alternativa Popolare,Lazio,2018,2017,263,0
Articolo 1 Movimento Democratico e Progressista,Lazio,2018,2017,3010,0
Centro Democratico,Lazio,2018,2017,1117,0
Democrazia Solidale - Demo. S,Lazio,2018,2017,185,0
Energie per l'Italia,Lazio,2018,2017,1109,0
Federazione dei Verdi,Lazio,2018,2017,2543,0
Fratelli d'Italia,Lazio,2018,2017,10523,0
Idea Identita' e Azione,Lazio,2018,2017,126,0
Italia dei Valori,Lazio,2018,2017,585,0
Lega Nord per l'Indipendenza della Padania,Lazio,2018,2017,1513,0
Lega per Salvini Premier,Lazio,2018,2017,15767,0
Movimento Associativo Italiani all'Estero,Lazio,2018,2017,558,0
Movimento La Puglia in Piu',Lazio,2018,2017,525,0
Movimento politico Forza Italia,Lazio,2018,2017,3378,0
Partito Autonomista Trentino Tirolese,Lazio,2018,2017,170,0
Partito della Rifondazione Comunista,Lazio,2018,2017,6707,0
Partito Democratico,Lazio,2018,2017,47350,0
Partito Socialista Italiano,Lazio,2018,2017,994,0
Popolari per l'Italia,Lazio,2018,2017,141,0
Possibile,Lazio,2018,2017,1754,0
Scelta Civica,Lazio,2018,2017,1154,0
Sinistra Italiana,Lazio,2018,2017,3806,0
Stella Alpina,Lazio,2018,2017,274,0
Sudtiroler Volkspartei,Lazio,2018,2017,384,0
Union Valdotaine,Lazio,2018,2017,240,0
Unione di Centro,Lazio,2018,2017,194,0
Unione per il Trentino,Lazio,2018,2017,391,0
Alternativa Popolare,Abruzzo,2018,2017,35,0
Articolo 1 Movimento Democratico e Progressista,Abruzzo,2018,2017,346,0
Centro Democratico,Abruzzo,2018,2017,140,0
Democrazia Solidale - Demo. S,Abruzzo,2018,2017,13,0
Energie per l'Italia,Abruzzo,2018,2017,107,0
Federazione dei Verdi,Abruzzo,2018,2017,444,0
Fratelli d'Italia,Abruzzo,2018,2017,921,0
Idea Identita' e Azione,Abruzzo,2018,2017,16,0
Italia dei Valori,Abruzzo,2018,2017,92,0
Lega Nord per l'Indipendenza della Padania,Abruzzo,2018,2017,222,0
Lega per Salvini Premier,Abruzzo,2018,2017,2120,0
Movimento Associativo Italiani all'Estero,Abruzzo,2018,2017,39,0
Movimento La Puglia in Piu',Abruzzo,2018,2017,40,0
Movimento politico Forza Italia,Abruzzo,2018,2017,784,0
Partito Autonomista Trentino Tirolese,Abruzzo,2018,2017,,1
Partito della Rifondazione Comunista,Abruzzo,2018,2017,802,0
Partito Democratico,Abruzzo,2018,2017,4070,0
Partito Socialista Italiano,Abruzzo,2018,2017,210,0
Popolari per l'Italia,Abruzzo,2018,2017,,1
Possibile,Abruzzo,2018,2017,128,0
Scelta Civica,Abruzzo,2018,2017,119,0
Sinistra Italiana,Abruzzo,2018,2017,451,0
Stella Alpina,Abruzzo,2018,2017,19,0
Sudtiroler Volkspartei,Abruzzo,2018,2017,35,0
Union Valdotaine,Abruzzo,2018,2017,13,0
Unione di Centro,Abruzzo,2018,2017,241,0
Unione per il Trentino,Abruzzo,2018,2017,25,0
Alternativa Popolare,Molise,2018,2017,,1
Articolo 1 Movimento Democratico e Progressista,Molise,2018,2017,56,0
Centro Democratico,Molise,2018,2017,58,0
Democrazia Solidale - Demo. S,Molise,2018,2017,,1
Energie per l'Italia,Molise,2018,2017,25,0
Federazione dei Verdi,Molise,2018,2017,,1
Fratelli d'Italia,Molise,2018,2017,184,0
Idea Identita' e Azione,Molise,2018,2017,,1
Italia dei Valori,Molise,2018,2017,19,0
Lega Nord per l'Indipendenza della Padania,Molise,2018,2017,37,0
Lega per Salvini Premier,Molise,2018,2017,727,0
Movimento Associativo Italiani all'Estero,Molise,2018,2017,14,0
Movimento La Puglia in Piu',Molise,2018,2017,18,0
Movimento politico Forza Italia,Molise,2018,2017,144,0
Partito Autonomista Trentino Tirolese,Molise,2018,2017,0,0
Partito della Rifondazione Comunista,Molise,2018,2017,,1
Partito Democratico,Molise,2018,2017,1028,0
Partito Socialista Italiano,Molise,2018,2017,50,0
Popolari per l'Italia,Molise,2018,2017,127,0
Possibile,Molise,2018,2017,28,0
Scelta Civica,Molise,2018,2017,,1
Sinistra Italiana,Molise,2018,2017,62,0
Stella Alpina,Molise,2018,2017,,1
Sudtiroler Volkspartei,Molise,2018,2017,,1
Union Valdotaine,Molise,2018,2017,,1
Unione di Centro,Molise,2018,2017,10,0
Unione per il Trentino,Molise,2018,2017,,1
Alternativa Popolare,Campania,2018,2017,246,0
Articolo 1 Movimento Democratico e Progressista,Campania,2018,2017,1646,0
Centro Democratico,Campania,2018,2017,1017,0
Democrazia Solidale - Demo. S,Campania,2018,2017,115,0
Energie per l'Italia,Campania,2018,2017,656,0
Federazione dei Verdi,Campania,2018,2017,1209,0
Fratelli d'Italia,Campania,2018,2017,5025,0
Idea Identita' e Azione,Campania,2018,2017,57,0
Italia dei Valori,Campania,2018,2017,505,0
Lega Nord per l'Indipendenza della Padania,Campania,2018,2017,302,0
Lega per Salvini Premier,Campania,2018,2017,4094,0
Movimento Associativo Italiani all'Estero,Campania,2018,2017,406,0
Movimento La Puglia in Piu',Campania,2018,2017,188,0
Movimento politico Forza Italia,Campania,2018,2017,4098,0
Partito Autonomista Trentino Tirolese,Campania,2018,2017,42,0
Partito della Rifondazione Comunista,Campania,2018,2017,2939,0
Partito Democratico,Campania,2018,2017,21947,0
Partito Socialista Italiano,Campania,2018,2017,1656,0
Popolari per l'Italia,Campania,2018,2017,131,0
Possibile,Campania,2018,2017,716,0
Scelta Civica,Campania,2018,2017,994,0
Sinistra Italiana,Campania,2018,2017,1645,0
Stella Alpina,Campania,2018,2017,52,0
Sudtiroler Volkspartei,Campania,2018,2017,63,0
Union Valdotaine,Campania,2018,2017,38,0
Unione di Centro,Campania,2018,2017,142,0
Unione per il Trentino,Campania,2018,2017,51,0
Alternativa Popolare,Puglia,2018,2017,106,0
Articolo 1 Movimento Democratico e Progressista,Puglia,2018,2017,1535,0
Centro Democratico,Puglia,2018,2017,560,0
Democrazia Solidale - Demo. S,Puglia,2018,2017,20,0
Energie per l'Italia,Puglia,2018,2017,206,0
Federazione dei Verdi,Puglia,2018,2017,655,0
Fratelli d'Italia,Puglia,2018,2017,3271,0
Idea Identita' e Azione,Puglia,2018,2017,114,0
Italia dei Valori,Puglia,2018,2017,139,0
Lega Nord per l'Indipendenza della Padania,Puglia,2018,2017,233,0
Lega per Salvini Premier,Puglia,2018,2017,2931,0
Movimento Associativo Italiani all'Estero,Puglia,2018,2017,91,0
Movimento La Puglia in Piu',Puglia,2018,2017,2559,0
Movimento politico Forza Italia,Puglia,2018,2017,3196,0
Partito Autonomista Trentino Tirolese,Puglia,2018,2017,24,0
Partito della Rifondazione Comunista,Puglia,2018,2017,2145,0
Partito Democratico,Puglia,2018,2017,13438,0
Partito Socialista Italiano,Puglia,2018,2017,1507,0
Popolari per l'Italia,Puglia,2018,2017,86,0
Possibile,Puglia,2018,2017,275,0
Scelta Civica,Puglia,2018,2017,444,0
Sinistra Italiana,Puglia,2018,2017,1239,0
Stella Alpina,Puglia,2018,2017,15,0
Sudtiroler Volkspartei,Puglia,2018,2017,61,0
Union Valdotaine,Puglia,2018,2017,25,0
Unione di Centro,Puglia,2018,2017,172,0
Unione per il Trentino,Puglia,2018,2017,33,0
Alternativa Popolare,Basilicata,2018,2017,11,0
Articolo 1 Movimento Democratico e Progressista,Basilicata,2018,2017,703,0
Centro Democratico,Basilicata,2018,2017,102,0
Democrazia Solidale - Demo. S,Basilicata,2018,2017,,1
Energie per l'Italia,Basilicata,2018,2017,42,0
Federazione dei Verdi,Basilicata,2018,2017,77,0
Fratelli d'Italia,Basilicata,2018,2017,375,0
Idea Identita' e Azione,Basilicata,2018,2017,,1
Italia dei Valori,Basilicata,2018,2017,82,0
Lega Nord per l'Indipendenza della Padania,Basilicata,2018,2017,39,0
Lega per Salvini Premier,Basilicata,2018,2017,,1
Movimento Associativo Italiani all'Estero,Basilicata,2018,2017,11,0
Movimento La Puglia in Piu',Basilicata,2018,2017,28,0
Movimento politico Forza Italia,Basilicata,2018,2017,165,0
Partito Autonomista Trentino Tirolese,Basilicata,2018,2017,,1
Partito della Rifondazione Comunista,Basilicata,2018,2017,299,0
Partito Democratico,Basilicata,2018,2017,2944,0
Partito Socialista Italiano,Basilicata,2018,2017,178,0
Popolari per l'Italia,Basilicata,2018,2017,32,0
Possibile,Basilicata,2018,2017,55,0
Scelta Civica,Basilicata,2018,2017,43,0
Sinistra Italiana,Basilicata,2018,2017,189,0
Stella Alpina,Basilicata,2018,2017,,1
Sudtiroler Volkspartei,Basilicata,2018,2017,,1
Union Valdotaine,Basilicata,2018,2017,,1
Unione di Centro,Basilicata,2018,2017,,1
Unione per il Trentino,Basilicata,2018,2017,,1
Alternativa Popolare,Calabria,2018,2017,141,0
Articolo 1 Movimento Democratico e Progressista,Calabria,2018,2017,660,0
Centro Democratico,Calabria,2018,2017,328,0
Democrazia Solidale - Demo. S,Calabria,2018,2017,31,0
Energie per l'Italia,Calabria,2018,2017,115,0
Federazione dei Verdi,Calabria,2018,2017,306,0
Fratelli d'Italia,Calabria,2018,2017,2017,0
Idea Identita' e Azione,Calabria,2018,2017,22,0
Italia dei Valori,Calabria,2018,2017,115,0
Lega Nord per l'Indipendenza della Padania,Calabria,2018,2017,340,0
Lega per Salvini Premier,Calabria,2018,2017,2048,0
Movimento Associativo Italiani all'Estero,Calabria,2018,2017,51,0
Movimento La Puglia in Piu',Calabria,2018,2017,39,0
Movimento politico Forza Italia,Calabria,2018,2017,1313,0
Partito Autonomista Trentino Tirolese,Calabria,2018,2017,18,0
Partito della Rifondazione Comunista,Calabria,2018,2017,894,0
Partito Democratico,Calabria,2018,2017,7045,0
Partito Socialista Italiano,Calabria,2018,2017,724,0
Popolari per l'Italia,Calabria,2018,2017,40,0
Possibile,Calabria,2018,2017,190,0
Scelta Civica,Calabria,2018,2017,190,0
Sinistra Italiana,Calabria,2018,2017,433,0
Stella Alpina,Calabria,2018,2017,24,0
Sudtiroler Volkspartei,Calabria,2018,2017,27,0
Union Valdotaine,Calabria,2018,2017,10,0
Unione di Centro,Calabria,2018,2017,73,0
Unione per il Trentino,Calabria,2018,2017,25,0
Alternativa Popolare,Sicilia,2018,2017,196,0
